34.60887,96.60956,17.00000,3.39044,0.05219
0.59791,55.72917,6.00000,44.27083,0.00000
10.52753,95.46826,12.00000,4.53174,0.04141
11.00274,99.35469,10.00000,0.64531,0.07925
0.50199,48.38710,7.00000,51.61290,1.36476
2.23468,62.65329,9.00000,37.34671,0.30658
5.38989,76.06887,9.00000,23.93113,0.30044
12.39225,94.79318,6.00000,5.20682,0.00000
0.41106,62.72727,3.00000,37.27273,0.00000
1.81863,88.32192,7.00000,11.67808,0.47945
3.79671,83.03806,10.00000,16.96194,0.19685
1.16343,66.48822,13.00000,33.51178,0.21413
