34.62008,96.57828,15.00000,3.42172,0.01979
0.59791,61.35417,3.00000,38.64583,0.00000
10.53189,96.28622,11.00000,3.71378,0.00000
11.00648,96.86510,10.00000,3.13490,0.04527
0.50573,48.27586,5.00000,51.72414,0.61576
2.23717,79.31514,8.00000,20.68486,0.19488
5.39923,85.30396,9.00000,14.69604,0.12689
12.39101,92.77708,5.00000,7.22292,0.01005
0.40982,87.68997,3.00000,12.31003,0.30395
1.82175,96.82051,5.00000,3.17949,0.30769
3.80107,81.28789,8.00000,18.71211,0.08193
1.15595,73.16810,10.00000,26.83190,0.86207
